cfg,seed,f1_macro_A,accuracy_A,f1_macro_B,accuracy_B,dF1_pp,dAcc_pp
benchmark/legacy_seresnext50_32x4d,2024,0.669313,0.648333,0.671321,0.633542,-0.20079999999998988,1.4790999999999999
benchmark/legacy_seresnext50_32x4d,42,0.689253,0.692917,0.690643,0.657083,-0.13900000000000023,3.5834000000000032
benchmark/legacy_xception,1234,0.634823,0.622083,0.613523,0.610208,2.1299999999999986,1.187500000000008
benchmark/legacy_xception,2024,0.547866,0.551042,0.584201,0.593542,-3.6335000000000006,-4.249999999999998
benchmark/legacy_xception,42,0.574675,0.610417,0.587509,0.607917,-1.28339999999999,0.24999999999999467
benchmark/mnasnet_100,1234,0.611545,0.601667,0.624732,0.622708,-1.3186999999999949,-2.1041000000000087
benchmark/mnasnet_100,2024,0.624922,0.614583,0.629931,0.637292,-0.5009000000000041,-2.270899999999998
benchmark/mnasnet_100,42,0.654721,0.67,0.631747,0.635417,2.297400000000005,3.458300000000003
benchmark/mobilenetv2_100,1234,0.487325,0.41375,0.456641,0.40625,3.0683999999999987,0.7500000000000007
benchmark/mobilenetv2_100,2024,0.573393,0.554167,0.598941,0.564583,-2.5547999999999904,-1.041599999999998
benchmark/mobilenetv2_100,42,0.543772,0.496458,0.501797,0.448333,4.197499999999998,4.812500000000003
benchmark/mobilenetv3_large_100,1234,0.620696,0.568125,0.592772,0.527708,2.792400000000006,4.041700000000004
benchmark/mobilenetv3_large_100,2024,0.549049,0.505833,0.55814,0.496875,-0.909099999999996,0.8957999999999966
benchmark/mobilenetv3_large_100,42,0.630494,0.585625,0.646261,0.608125,-1.5766999999999975,-2.2500000000000075
benchmark/regnety_016,1234,0.680875,0.694167,0.666985,0.667292,1.3889999999999958,2.6874999999999982
benchmark/regnety_016,2024,0.657552,0.6525,0.659514,0.655,-0.19620000000000193,-0.2500000000000058
benchmark/regnety_016,42,0.662479,0.646042,0.648656,0.66,1.382300000000003,-1.3958000000000026
benchmark/resnet101,1234,0.614653,0.625,0.62058,0.6525,-0.5927000000000016,-2.749999999999997
benchmark/resnet101,2024,0.624528,0.642292,0.625775,0.63875,-0.12469999999999981,0.3541999999999934
benchmark/resnet101,42,0.669194,0.661667,0.61535,0.631875,5.3844,2.979200000000004
benchmark/resnet50,1234,0.625869,0.601875,0.633478,0.62,-0.7608999999999977,-1.8124999999999947
benchmark/resnet50,2024,0.609265,0.608333,0.619032,0.634167,-0.9767000000000081,-2.5834000000000024
benchmark/resnet50,42,0.628513,0.627083,0.549665,0.507292,7.884800000000003,11.979099999999999
benchmark/resnext50_32x4d,1234,0.632068,0.606042,0.630655,0.628333,0.14129999999999976,-2.229100000000006
benchmark/resnext50_32x4d,2024,0.611469,0.62875,0.641892,0.661875,-3.042299999999998,-3.312499999999996
benchmark/resnext50_32x4d,42,0.609058,0.640625,0.591352,0.585625,1.7706,5.500000000000005
benchmark/swin_small_patch4_window7_224,1234,0.674072,0.655833,0.672209,0.671458,0.1863000000000059,-1.5625
benchmark/swin_small_patch4_window7_224,2024,0.685595,0.66625,0.713093,0.698958,-2.7498000000000022,-3.270799999999996
benchmark/swin_small_patch4_window7_224,42,0.68618,0.668542,0.706768,0.68375,-2.058799999999994,-1.5208
benchmark/swin_tiny_patch4_window7_224,1234,0.646422,0.597708,0.652719,0.59625,-0.6296999999999997,0.14580000000000704
benchmark/swin_tiny_patch4_window7_224,2024,0.644016,0.5975,0.666043,0.61875,-2.202700000000002,-2.124999999999999
benchmark/swin_tiny_patch4_window7_224,42,0.665444,0.6175,0.646407,0.599167,1.9037000000000082,1.8333000000000044
benchmark/vgg16,1234,0.248771,0.165208,0.383778,0.297083,-13.500700000000002,-13.1875
benchmark/vgg16,2024,0.449644,0.340208,0.40987,0.315,3.9773999999999976,2.520800000000001
benchmark/vgg16,42,0.328128,0.219792,0.258275,0.178958,6.9853,4.083399999999998
benchmark/vgg19,1234,0.323907,0.224375,0.401756,0.297083,-7.7849,-7.2707999999999995
benchmark/vgg19,2024,0.275135,0.209167,0.478314,0.400833,-20.3179,-19.1666
benchmark/vgg19,42,0.346434,0.245833,0.408011,0.2975,-6.157699999999999,-5.166699999999999
benchmark/vit_base_patch16_224,1234,0.695609,0.69875,0.593194,0.580833,10.241500000000004,11.791699999999993
benchmark/vit_base_patch16_224,2024,0.677699,0.667917,0.606581,0.602292,7.1118000000000015,6.562499999999993
benchmark/vit_base_patch16_224,42,0.612483,0.612708,0.548548,0.510417,6.393499999999996,10.229100000000003
benchmark/vit_small_patch16_224,1234,0.672066,0.666875,0.683072,0.685417,-1.100599999999996,-1.8542000000000058
benchmark/vit_small_patch16_224,2024,0.696586,0.716042,0.633491,0.623125,6.309500000000002,9.291699999999992
benchmark/vit_small_patch16_224,42,0.659027,0.676042,0.666263,0.655417,-0.723600000000002,2.0625000000000004
proposed/Proposed_HMLA_CAFormerS18,1234,0.695964,0.712708,0.684731,0.705417,1.1233000000000049,0.7291000000000047
proposed/Proposed_HMLA_CAFormerS18,2024,0.651033,0.691667,0.676843,0.712708,-2.581,-2.1040999999999976
proposed/Proposed_HMLA_CAFormerS18,42,0.674831,0.69375,0.683729,0.69375,-0.8898000000000073,0.0
