experiment,model,seed,P1_f1,P1_acc,P2_f1,P3_f1,P3_acc,leakage,mass_absent,gmean,n_zero_recall
benchmark,efficientnet_b3,2024,0.6761384282278358,0.7077083333333334,0.19318240806509593,0.6779619750991692,0.7245833333333334,0.046875,0.29266226291656494,0.008713938515540283,1
benchmark,efficientnet_b3,42,0.6650067450163845,0.67875,0.1900019271475384,0.6710472049447748,0.716875,0.09520833333333334,0.32133129239082336,0.38691481884444734,0
benchmark,ghostnet_100,1234,0.5710193880474066,0.5325,0.16314839658497332,0.6452005217824749,0.6827083333333334,0.261875,0.46671193838119507,0.3268468271723294,0
benchmark,ghostnet_100,2024,0.6421371506021751,0.6195833333333334,0.1834677573149072,0.6661297050319926,0.7102083333333333,0.19958333333333333,0.4257599115371704,0.30626572623599224,0
benchmark,ghostnet_100,42,0.6700751877251271,0.6375,0.19145005363575057,0.7092777127889046,0.7547916666666666,0.23104166666666667,0.4525027573108673,0.3787134907302032,0
benchmark,inception_v3,1234,0.5398551499984121,0.5041666666666667,0.1542443285709749,0.5850278022638361,0.6308333333333334,0.26916666666666667,0.44391876459121704,0.006316330300856735,1
benchmark,inception_v3,2024,0.5690937291123245,0.5297916666666667,0.16259820831780697,0.6027158843130024,0.6427083333333333,0.2814583333333333,0.4447101950645447,0.29423005667378643,0
benchmark,inception_v3,42,0.4928888278378262,0.43854166666666666,0.14082537938223605,0.5860881676918569,0.6216666666666667,0.35625,0.5081532001495361,0.21910088981268028,0
benchmark,legacy_seresnext50_32x4d,1234,0.6939053972265236,0.6791666666666667,0.19825868492186385,0.7093110148658845,0.7541666666666667,0.18083333333333335,0.30557897686958313,0.3801146220352267,0
benchmark,legacy_seresnext50_32x4d,2024,0.6693126015510066,0.6483333333333333,0.19123217187171618,0.7014025933400351,0.7522916666666667,0.19208333333333333,0.3391927480697632,0.008089630673106678,1
benchmark,legacy_seresnext50_32x4d,42,0.6892526475114464,0.6929166666666666,0.19692932786041326,0.705436696562716,0.7541666666666667,0.1175,0.23663945496082306,0.3508044973713638,0
benchmark,legacy_xception,1234,0.6348234721627161,0.6220833333333333,0.18137813490363314,0.6449350111038313,0.7016666666666667,0.18916666666666668,0.46519288420677185,0.00773575437316202,1
benchmark,legacy_xception,2024,0.5478658545223347,0.5510416666666667,0.15653310129209563,0.565645509701798,0.625,0.20416666666666666,0.3644868731498718,0.006281008780860591,1
benchmark,legacy_xception,42,0.5746748306555132,0.6104166666666667,0.16419280875871803,0.5775223086946862,0.6347916666666666,0.07333333333333333,0.3992981016635895,0.007244342047732252,1
benchmark,mnasnet_100,1234,0.6115453247860602,0.6016666666666667,0.17472723565316003,0.6361286375821933,0.6664583333333334,0.12333333333333334,0.3917757570743561,0.42277021528808173,0
benchmark,mnasnet_100,2024,0.6249223936613105,0.6145833333333334,0.17854925533180302,0.6527071504613647,0.6877083333333334,0.13979166666666668,0.40137797594070435,0.40136157726242455,0
benchmark,mnasnet_100,42,0.654721003612934,0.67,0.1870631438894097,0.6613083759074652,0.70125,0.06979166666666667,0.3124735951423645,0.34178018424629947,0
benchmark,mobilenetv2_100,1234,0.48732506211889115,0.41375,0.1392357320339689,0.5859536802955417,0.611875,0.41770833333333335,0.5763631463050842,0.20963970031253892,0
benchmark,mobilenetv2_100,2024,0.5733930661258043,0.5541666666666667,0.1638265903216584,0.6085605385790053,0.6395833333333333,0.19,0.42814549803733826,0.007020996261254599,1
benchmark,mobilenetv2_100,42,0.5437722901328179,0.49645833333333333,0.15536351146651942,0.5912489438164087,0.6304166666666666,0.28770833333333334,0.5135674476623535,0.0064042587821088555,1
benchmark,mobilenetv3_large_100,1234,0.6206958157674949,0.568125,0.1773416616478557,0.6706635421659581,0.7195833333333334,0.29520833333333335,0.5268802642822266,0.2837922090074128,0
benchmark,mobilenetv3_large_100,2024,0.5490488023950907,0.5058333333333334,0.15687108639859731,0.6023722710292382,0.6460416666666666,0.30520833333333336,0.5621871948242188,0.006326146630775712,1
benchmark,mobilenetv3_large_100,42,0.6304942885902637,0.585625,0.1801412253115039,0.6503557819644902,0.6891666666666667,0.26208333333333333,0.5272741317749023,0.3487014504378462,0
benchmark,regnety_016,1234,0.6808747993298185,0.6941666666666667,0.19453565695137673,0.7001452602613597,0.75125,0.10208333333333333,0.3145327866077423,0.31412117557246366,0
benchmark,regnety_016,2024,0.6575517848195102,0.6525,0.18787193851986003,0.6791699723682196,0.730625,0.15833333333333333,0.3405364453792572,0.008054975795718138,1
benchmark,regnety_016,42,0.6624789247730701,0.6460416666666666,0.18927969279230575,0.6821915740081326,0.7266666666666667,0.17416666666666666,0.3343755304813385,0.26322348564679254,0
benchmark,resnet101,1234,0.6146530038285932,0.625,0.17561514395102662,0.6304380835471889,0.6864583333333333,0.138125,0.31789353489875793,0.3243386422957294,0
benchmark,resnet101,2024,0.62452760935941,0.6422916666666667,0.17843645981697426,0.623672753345869,0.6747916666666667,0.120625,0.2690254747867584,0.4321225768549833,0
benchmark,resnet101,42,0.6691941752630246,0.6616666666666666,0.19119833578943565,0.6739327607940897,0.7125,0.1425,0.32203027606010437,0.4851554483511929,0
benchmark,resnet50,1234,0.6258691760999736,0.601875,0.17881976459999246,0.6524913550097851,0.6952083333333333,0.20541666666666666,0.4367836117744446,0.32185481591786597,0
benchmark,resnet50,2024,0.6092646704344413,0.6083333333333333,0.17407562012412608,0.6333957134156643,0.6847916666666667,0.179375,0.4152213931083679,0.0072669769235499055,1
benchmark,resnet50,42,0.6285133574582984,0.6270833333333333,0.17957524498808525,0.64603122610222,0.6914583333333333,0.1375,0.40151920914649963,0.2557899990269003,0
benchmark,resnext50_32x4d,1234,0.6320682692203475,0.6060416666666667,0.18059093406295645,0.6723195173415989,0.7185416666666666,0.21625,0.43248891830444336,0.007492020523652889,1
benchmark,resnext50_32x4d,2024,0.6114694379266439,0.62875,0.17470555369332683,0.6379654894568539,0.681875,0.12854166666666667,0.32386454939842224,0.2474003798477856,0
benchmark,resnext50_32x4d,42,0.6090575471292676,0.640625,0.17401644203693362,0.6214655107462016,0.68,0.09666666666666666,0.2658040225505829,0.00756595644815971,1
benchmark,swin_small_patch4_window7_224,1234,0.6740721232123909,0.6558333333333334,0.1925920352035402,0.674730169427671,0.725,0.20270833333333332,0.3299015760421753,0.008105422695840695,1
benchmark,swin_small_patch4_window7_224,2024,0.6855952899694385,0.66625,0.19588436856269673,0.7065769631167397,0.7541666666666667,0.19666666666666666,0.29339873790740967,0.3993974774652219,0
benchmark,swin_small_patch4_window7_224,42,0.6861795590657391,0.6685416666666667,0.19605130259021117,0.7094063305020054,0.7447916666666666,0.18125,0.2804998755455017,0.4576437875354234,0
benchmark,swin_tiny_patch4_window7_224,1234,0.6464221857157487,0.5977083333333333,0.1846920530616425,0.6759433446384476,0.7204166666666667,0.27875,0.3934146761894226,0.24671245849799978,0
benchmark,swin_tiny_patch4_window7_224,2024,0.6440156737661419,0.5975,0.18400447821889768,0.6717238341409334,0.7225,0.28541666666666665,0.44496551156044006,0.30561150762447387,0
benchmark,swin_tiny_patch4_window7_224,42,0.6654444377177406,0.6175,0.19012698220506877,0.6976716400072709,0.7425,0.27708333333333335,0.3798339366912842,0.2850088959986739,0
benchmark,vgg16,1234,0.24877147028075539,0.16520833333333335,0.07107756293735867,0.5623826390737808,0.5991666666666666,0.7935416666666667,0.7660741209983826,0.0019360914362806158,1
benchmark,vgg16,2024,0.44964405746397534,0.34020833333333333,0.12846973070399295,0.6189848582138299,0.654375,0.5675,0.659206748008728,0.004656745694367191,1
benchmark,vgg16,42,0.3281276871144934,0.21979166666666666,0.09375076774699813,0.5954885142086505,0.6227083333333333,0.7216666666666667,0.7106155157089233,0.0031959029850726294,1
benchmark,vgg19,1234,0.32390676660041906,0.224375,0.09254479045726259,0.5882178246482457,0.6154166666666666,0.7345833333333334,0.7439259886741638,0.13458679660297238,0
benchmark,vgg19,2024,0.27513519642412837,0.20916666666666667,0.07861005612117955,0.5817629175310093,0.6202083333333334,0.7083333333333334,0.7251874208450317,0.0827855823672822,0
benchmark,vgg19,42,0.3464344741425564,0.24583333333333332,0.09898127832644468,0.6367657855651617,0.666875,0.7185416666666666,0.7287841439247131,0.003039530776112849,1
benchmark,vit_base_patch16_224,1234,0.6956090468811843,0.69875,0.19874544196605268,0.7030835463656153,0.7395833333333334,0.08770833333333333,0.16791945695877075,0.5229914453296958,0
benchmark,vit_base_patch16_224,2024,0.6776986540160018,0.6679166666666667,0.19362818686171476,0.6901213161809382,0.7189583333333334,0.11604166666666667,0.2079543173313141,0.5166776922111243,0
benchmark,vit_base_patch16_224,42,0.6124833352674482,0.6127083333333333,0.17499523864784236,0.6301627238256593,0.67375,0.12729166666666666,0.21207666397094727,0.4066351008896208,0
benchmark,vit_small_patch16_224,1234,0.6720659743047067,0.666875,0.1920188498013448,0.6817581953010289,0.73375,0.15083333333333335,0.312545508146286,0.008257332400102511,1
benchmark,vit_small_patch16_224,2024,0.6965860565236545,0.7160416666666667,0.19902458757818697,0.6987107248978687,0.7504166666666666,0.09541666666666666,0.2490767389535904,0.00873814433336687,1
benchmark,vit_small_patch16_224,42,0.6590266834570133,0.6760416666666667,0.18829333813057522,0.6548795871852297,0.7129166666666666,0.1275,0.323559433221817,0.34713287771483575,0
proposed,Proposed_HMLA_CAFormerS18,1234,0.6959638982832588,0.7127083333333334,0.19884682808093107,0.6959548908400931,0.7491666666666666,0.10583333333333333,0.21471700072288513,0.008706699492744682,1
proposed,Proposed_HMLA_CAFormerS18,2024,0.6510329986068495,0.6916666666666667,0.18600942817338556,0.6507209461805846,0.6995833333333333,0.036041666666666666,0.12936419248580933,0.34430764444870515,0
proposed,Proposed_HMLA_CAFormerS18,42,0.6748311030131569,0.69375,0.19280888657518766,0.6807229920915381,0.7272916666666667,0.08125,0.1827596127986908,0.39889953868308897,0
ablation,full,1234,0.67712851942508,0.6935416666666666,0.19346529126430853,0.6923626326550241,0.738125,0.08583333333333333,0.1862906962633133,0.3518191972531615,0
ablation,full,2024,0.6784154704254891,0.7035416666666666,0.19383299155013975,0.675488032846967,0.728125,0.08208333333333333,0.17561236023902893,0.2806851550755957,0
ablation,full,42,0.6697065967623542,0.6841666666666667,0.19134474193210124,0.6817046057958903,0.7339583333333334,0.100625,0.18137972056865692,0.370029601143222,0
ablation,wo_beta_calib,1234,0.6759277526841224,0.7004166666666667,0.1931222150526064,0.6846540069671742,0.731875,0.061875,0.08600614219903946,0.33756398434382473,0
ablation,wo_beta_calib,2024,0.6475118187228537,0.6770833333333334,0.1850033767779582,0.6478504223529288,0.7075,0.093125,0.09375461935997009,0.26574422494415556,0
ablation,wo_beta_calib,42,0.6644799846926189,0.7014583333333333,0.18985142419789114,0.673629086007378,0.7285416666666666,0.042916666666666665,0.05842629820108414,0.00853959759999348,1
ablation,wo_ema,1234,0.729349406648022,0.7491666666666666,0.2083855447565777,0.7335158367831,0.7735416666666667,0.08604166666666667,0.17654170095920563,0.46140763707527843,0
ablation,wo_ema,2024,0.6251403977381251,0.6710416666666666,0.17861154221089293,0.6292944853920311,0.6910416666666667,0.046875,0.13261649012565613,0.007874543509202206,1
ablation,wo_ema,42,0.6327984517164361,0.6420833333333333,0.18079955763326747,0.6556414123055085,0.7047916666666667,0.11458333333333333,0.20489829778671265,0.25570856729336605,0
ablation,wo_hier,1234,0.6520687433991235,0.6647916666666667,0.18630535525689243,0.6796565893151029,0.72625,0.08645833333333333,0.17914551496505737,0.3250797890856726,0
ablation,wo_hier,2024,0.6847306837328695,0.7002083333333333,0.19563733820939128,0.68824740820547,0.735625,0.088125,0.18377745151519775,0.008617095662187976,1
ablation,wo_hier,42,0.6924212881430196,0.6935416666666666,0.19783465375514847,0.7106216718350629,0.7616666666666667,0.14375,0.26052379608154297,0.2802109852670839,0
ablation,wo_label_smoothing,1234,0.5902151898902478,0.63625,0.16863291139721365,0.5960463751231598,0.6608333333333334,0.05229166666666667,0.07539070397615433,0.007432471662024446,1
ablation,wo_label_smoothing,2024,0.6700126761025289,0.6922916666666666,0.19143219317215113,0.6814956899519319,0.7339583333333334,0.09541666666666666,0.10888966917991638,0.008368917476409965,1
ablation,wo_label_smoothing,42,0.6668020921313597,0.68875,0.19051488346610276,0.6683299845689729,0.716875,0.078125,0.10366983711719513,0.3108443596462143,0
ablation,wo_lap,1234,0.6228821127901789,0.625,0.1779663179400511,0.6449908088029431,0.69125,0.14125,0.24451255798339844,0.3610565930070211,0
ablation,wo_lap,2024,0.6747184476465394,0.6683333333333333,0.1927766993275827,0.6862407225876307,0.736875,0.16125,0.22086171805858612,0.33679851490304674,0
ablation,wo_lap,42,0.6646662168560601,0.6735416666666667,0.18990463338744576,0.6644445700835101,0.720625,0.14166666666666666,0.23119094967842102,0.0081485756066592,1
ablation,wo_lap_gate,1234,0.6858998675796709,0.6716666666666666,0.19597139073704883,0.6926096159099483,0.7425,0.176875,0.2729696035385132,0.35536216114751806,0
ablation,wo_lap_gate,2024,0.6887782780866732,0.7054166666666667,0.19679379373904948,0.7005650146442964,0.7477083333333333,0.09229166666666666,0.18157663941383362,0.008642369411956816,1
ablation,wo_lap_gate,42,0.6620098777651562,0.69125,0.1891456793614732,0.6607740710818818,0.7145833333333333,0.07375,0.1638626754283905,0.3069151834578484,0
ablation,wo_llrd,1234,0.6867782598929394,0.6935416666666666,0.19622235996941123,0.688238209864067,0.731875,0.11333333333333333,0.22180575132369995,0.3940209369403523,0
