path,hash,class
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141633.jpg,17543998346247807859,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141637.jpg,16605221313453831730,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141657.jpg,12711070857572463414,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141703.jpg,12711075256155779890,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141720.jpg,11571602837874251318,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141728.jpg,16179064128930432869,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141739.jpg,11641416055949577366,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141745.jpg,11570765780961644179,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141833.jpg,16242687900798046777,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_141853.jpg,17432532086853034085,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142137.jpg,12981556178978458575,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142144.jpg,11545495389525689291,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142152.jpg,12743442459439362873,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142156.jpg,12739503828467134822,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142215.jpg,17684741364720028812,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142220.jpg,13059809796000825548,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142320.jpg,16526410277611202404,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142324.jpg,17614928082237138484,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142334.jpg,12715574705768968564,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142339.jpg,12861939417867039292,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142345.jpg,16183287755749576293,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142351.jpg,13025186436842576243,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142409.jpg,16528666409439894585,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142413.jpg,11629647559996840585,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142433.jpg,17614945674418988593,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142439.jpg,17688391742246558348,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142453.jpg,17783757464945504972,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142505.jpg,15525892311554951372,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142511.jpg,14147242200201468371,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142532.jpg,17713672647741684099,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142538.jpg,17422050055105488334,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142545.jpg,16560468573417776027,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142549.jpg,16525570058263864474,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142556 - Copy.jpg,12987479535964325964,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142556.jpg,12987479535964325964,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142559.jpg,16530918208179809897,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142616.jpg,17688343310535042597,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142620.jpg,16529225020436220967,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142651.jpg,16601280457424332390,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142655 - Copy.jpg,16533728593518866470,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142655.jpg,16533728593518866470,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142708.jpg,16529225028184139302,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142738.jpg,17407413580996158297,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142745.jpg,17683822176220621608,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142749.jpg,16529218389006785611,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142755 - Copy.jpg,16560754235740856774,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142755.jpg,16560754235740856774,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142800.jpg,16257032009214559846,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142908.jpg,13025478009269833011,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142913.jpg,16541332658561911910,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142920.jpg,16677278906217227879,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142924.jpg,16601844489910825522,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142931.jpg,16595089055992355482,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142936 - Copy.jpg,16602407431156503244,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142936.jpg,16602407431156503244,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142942.jpg,17856082176119786544,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142946.jpg,17567570397989083441,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142952.jpg,15517447933404482766,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_142955.jpg,15094109705871150278,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143001 - Copy.jpg,17758706583907439570,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143001.jpg,17758706583907439570,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143003.jpg,17535200771355616153,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143011.jpg,17859455769579722853,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143014.jpg,16670524151330073700,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143019.jpg,16630554430615032421,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143022.jpg,17424372189691872060,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143028.jpg,15086784622075561500,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143031.jpg,15518291830197989939,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143154.jpg,11848354421595006821,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143158.jpg,11630157439677576036,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143239.jpg,12751886927845404963,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143245.jpg,16243811582835648101,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143307.jpg,12483295304998963657,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143313.jpg,11870295517169649932,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143333.jpg,11873351434343902611,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143337.jpg,13042076801601185326,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143349.jpg,12717254759007742764,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143355.jpg,13041513657301414956,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143410.jpg,13029972747577489811,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143416.jpg,11563430506177117385,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143422.jpg,11592141368590546569,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143427.jpg,12749355817555735346,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143435.jpg,11873408625323118438,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143500.jpg,12751607028965258188,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143504.jpg,12744007393573286281,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143511.jpg,12884742699948913612,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143515.jpg,11735127616138733452,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143527.jpg,13041795334400860472,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143535.jpg,12712759683817609420,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143541.jpg,13005484858167511244,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143546 - Copy.jpg,12105280152054162584,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143546.jpg,12105280152054162584,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143550 - Copy.jpg,11880102643246719890,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143550.jpg,11880102643246719890,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143559.jpg,12031113276972046986,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/20251217_143606.jpg,12888964794518747192,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140610.jpg,17317131730961577586,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140615.jpg,17896112530693829172,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140704.jpg,11957288017521500626,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140708.jpg,11885222924516291168,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140721.jpg,16848131585728668570,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140726.jpg,13678208517061768403,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140729.jpg,12533683141630976472,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140923.jpg,16246065599130248237,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140934.jpg,16244939699222357421,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_140956.jpg,18328454403980446153,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141001.jpg,12246648596075537889,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141010.jpg,12524746035826094230,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141015.jpg,12237572574235943828,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141059.jpg,12317508872959320493,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141104.jpg,12524746113034773655,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141109.jpg,12236445317153513878,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141113.jpg,12381687551354823070,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141119.jpg,12237572335357880676,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141122.jpg,16921595219452256741,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141126.jpg,12246297881398833558,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141134.jpg,12533753621523685872,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141138.jpg,12245522927526568310,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141208.jpg,11660054933036427158,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141214.jpg,12309630236456477580,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141225.jpg,16256189821909629297,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141230.jpg,16769582733295782808,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141243 - Copy.jpg,16553436204164982137,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141243.jpg,16553436204164982137,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141249.jpg,16404815277576562537,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141336.jpg,12236445574813803478,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141342.jpg,18192998510969693276,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141402.jpg,16544429074167703140,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141408.jpg,17769176510913196489,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141419.jpg,18184061044797748427,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141424.jpg,18193067535426204750,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141528 - Copy.jpg,18337180567420352052,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141528.jpg,18337180567420352052,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141533.jpg,18392631335828956212,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141545.jpg,17826305845807101126,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141550.jpg,17814147496705614926,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141557.jpg,17328329192278467893,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141602.jpg,13725494747072901694,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141628.jpg,17535502012573300425,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141631.jpg,16238465740933768778,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141641.jpg,18392648996734223396,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141646.jpg,18193067776431461430,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141656.jpg,17904772352991637556,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141702.jpg,17328377554214401076,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141713.jpg,18409238428190876710,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141719.jpg,18193067569753044020,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141732.jpg,17326077392994182965,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141738.jpg,17616608136537060408,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141749.jpg,17702685325770304633,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141757.jpg,18323669334745167059,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141808.jpg,18328173204424768025,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141817.jpg,17891327321927070411,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141829.jpg,16261538962896231641,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_141838.jpg,17328377760384955960,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142012.jpg,16252530328598989974,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142344.jpg,12719158676401041867,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142353.jpg,12736689263221027785,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142447.jpg,16473766568655297156,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142453.jpg,17637164026556485515,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142520.jpg,16613384789135079064,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142546.jpg,13817255237325436489,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142553.jpg,13799522303992871533,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142602.jpg,17476727858401522633,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142609.jpg,16685443480277100248,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142621.jpg,16251976381698026458,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142628.jpg,16483911762243433370,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142637.jpg,16542458555794859930,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142643.jpg,17636882534420915918,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142652.jpg,16540206773141120921,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142844.jpg,16251694960680789901,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142855 - Copy.jpg,13800085219590748461,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142855.jpg,13800085219590748461,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142902.jpg,13745479945573912521,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142911.jpg,12736407827168072652,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142919.jpg,12738932048200295630,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142927.jpg,16688818929434765017,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142931.jpg,16612333653527573196,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142941.jpg,17783247564666250444,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142946 - Copy.jpg,16541328294415833241,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_142946.jpg,16541328294415833241,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143006.jpg,17496076844624491084,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143013.jpg,16688255970916607705,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143021.jpg,12811842025524416048,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143027.jpg,12955884654020014905,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143036.jpg,16333040060672347494,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143041.jpg,16477153118406679366,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143137.jpg,16491788696569652872,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143145.jpg,16616762436704674713,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143151.jpg,17333457146795504076,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143156.jpg,17493046637789132748,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143204.jpg,12738377912284689094,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143209.jpg,13742946885924500284,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143221.jpg,12737814969847460806,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143233.jpg,13322144523445604787,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143238.jpg,13598840907331220344,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143312.jpg,13165362844634395772,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143319.jpg,13037010465699295480,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143331.jpg,13760961280399350124,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143340.jpg,13817256129741724100,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143351.jpg,13177753976393708431,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143404.jpg,17550189581891243212,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143501.jpg,13601367554012033750,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143505.jpg,13740695499639264049,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143517.jpg,17621119952955323019,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143525.jpg,17639415826437278531,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143539.jpg,12529175118273733104,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143603.jpg,13817255231948470985,cashew fungal infection
multiple leaf dataset/cashew leaf/cashew fungal infection/IMG_20251217_143612.jpg,12737181660819436220,cashew fungal infection
